category,zone,lambda,trend,gamma_eff,compression_ratio
freeform,safe,convergent,stable,0.100000,0.970446
freeform,safe,convergent,diverging,0.300000,0.913931
freeform,safe,convergent,chaotic,0.600000,0.835270
freeform,safe,recursive,stable,0.200000,0.941765
freeform,safe,recursive,diverging,0.400000,0.886920
freeform,safe,recursive,chaotic,0.700000,0.810584
freeform,safe,divergent,stable,0.300000,0.913931
freeform,safe,divergent,diverging,0.500000,0.860708
freeform,safe,divergent,chaotic,0.800000,0.786628
freeform,safe,chaotic,stable,0.500000,0.860708
freeform,safe,chaotic,diverging,0.700000,0.810584
freeform,safe,chaotic,chaotic,1.000000,0.740818
freeform,transit,convergent,stable,0.200000,0.941765
freeform,transit,convergent,diverging,0.400000,0.886920
freeform,transit,convergent,chaotic,0.700000,0.810584
freeform,transit,recursive,stable,0.300000,0.913931
freeform,transit,recursive,diverging,0.500000,0.860708
freeform,transit,recursive,chaotic,0.800000,0.786628
freeform,transit,divergent,stable,0.400000,0.886920
freeform,transit,divergent,diverging,0.600000,0.835270
freeform,transit,divergent,chaotic,0.900000,0.763379
freeform,transit,chaotic,stable,0.600000,0.835270
freeform,transit,chaotic,diverging,0.800000,0.786628
freeform,transit,chaotic,chaotic,1.100000,0.718924
freeform,risk,convergent,stable,0.400000,0.886920
freeform,risk,convergent,diverging,0.600000,0.835270
freeform,risk,convergent,chaotic,0.900000,0.763379
freeform,risk,recursive,stable,0.500000,0.860708
freeform,risk,recursive,diverging,0.700000,0.810584
freeform,risk,recursive,chaotic,1.000000,0.740818
freeform,risk,divergent,stable,0.600000,0.835270
freeform,risk,divergent,diverging,0.800000,0.786628
freeform,risk,divergent,chaotic,1.100000,0.718924
freeform,risk,chaotic,stable,0.800000,0.786628
freeform,risk,chaotic,diverging,1.000000,0.740818
freeform,risk,chaotic,chaotic,1.300000,0.677057
freeform,danger,convergent,stable,0.600000,0.835270
freeform,danger,convergent,diverging,0.800000,0.786628
freeform,danger,convergent,chaotic,1.100000,0.718924
freeform,danger,recursive,stable,0.700000,0.810584
freeform,danger,recursive,diverging,0.900000,0.763379
freeform,danger,recursive,chaotic,1.200000,0.697676
freeform,danger,divergent,stable,0.800000,0.786628
freeform,danger,divergent,diverging,1.000000,0.740818
freeform,danger,divergent,chaotic,1.300000,0.677057
freeform,danger,chaotic,stable,1.000000,0.740818
freeform,danger,chaotic,diverging,1.200000,0.697676
freeform,danger,chaotic,chaotic,1.500000,0.637628
research,safe,convergent,stable,0.200000,0.941765
research,safe,convergent,diverging,0.400000,0.886920
research,safe,convergent,chaotic,0.700000,0.810584
research,safe,recursive,stable,0.300000,0.913931
research,safe,recursive,diverging,0.500000,0.860708
research,safe,recursive,chaotic,0.800000,0.786628
research,safe,divergent,stable,0.400000,0.886920
research,safe,divergent,diverging,0.600000,0.835270
research,safe,divergent,chaotic,0.900000,0.763379
research,safe,chaotic,stable,0.600000,0.835270
research,safe,chaotic,diverging,0.800000,0.786628
research,safe,chaotic,chaotic,1.100000,0.718924
research,transit,convergent,stable,0.300000,0.913931
research,transit,convergent,diverging,0.500000,0.860708
research,transit,convergent,chaotic,0.800000,0.786628
research,transit,recursive,stable,0.400000,0.886920
research,transit,recursive,diverging,0.600000,0.835270
research,transit,recursive,chaotic,0.900000,0.763379
research,transit,divergent,stable,0.500000,0.860708
research,transit,divergent,diverging,0.700000,0.810584
research,transit,divergent,chaotic,1.000000,0.740818
research,transit,chaotic,stable,0.700000,0.810584
research,transit,chaotic,diverging,0.900000,0.763379
research,transit,chaotic,chaotic,1.200000,0.697676
research,risk,convergent,stable,0.500000,0.860708
research,risk,convergent,diverging,0.700000,0.810584
research,risk,convergent,chaotic,1.000000,0.740818
research,risk,recursive,stable,0.600000,0.835270
research,risk,recursive,diverging,0.800000,0.786628
research,risk,recursive,chaotic,1.100000,0.718924
research,risk,divergent,stable,0.700000,0.810584
research,risk,divergent,diverging,0.900000,0.763379
research,risk,divergent,chaotic,1.200000,0.697676
research,risk,chaotic,stable,0.900000,0.763379
research,risk,chaotic,diverging,1.100000,0.718924
research,risk,chaotic,chaotic,1.400000,0.657047
research,danger,convergent,stable,0.700000,0.810584
research,danger,convergent,diverging,0.900000,0.763379
research,danger,convergent,chaotic,1.200000,0.697676
research,danger,recursive,stable,0.800000,0.786628
research,danger,recursive,diverging,1.000000,0.740818
research,danger,recursive,chaotic,1.300000,0.677057
research,danger,divergent,stable,0.900000,0.763379
research,danger,divergent,diverging,1.100000,0.718924
research,danger,divergent,chaotic,1.400000,0.657047
research,danger,chaotic,stable,1.100000,0.718924
research,danger,chaotic,diverging,1.300000,0.677057
research,danger,chaotic,chaotic,1.600000,0.618783
architecture,safe,convergent,stable,0.400000,0.886920
architecture,safe,convergent,diverging,0.600000,0.835270
architecture,safe,convergent,chaotic,0.900000,0.763379
architecture,safe,recursive,stable,0.500000,0.860708
architecture,safe,recursive,diverging,0.700000,0.810584
architecture,safe,recursive,chaotic,1.000000,0.740818
architecture,safe,divergent,stable,0.600000,0.835270
architecture,safe,divergent,diverging,0.800000,0.786628
architecture,safe,divergent,chaotic,1.100000,0.718924
architecture,safe,chaotic,stable,0.800000,0.786628
architecture,safe,chaotic,diverging,1.000000,0.740818
architecture,safe,chaotic,chaotic,1.300000,0.677057
architecture,transit,convergent,stable,0.500000,0.860708
architecture,transit,convergent,diverging,0.700000,0.810584
architecture,transit,convergent,chaotic,1.000000,0.740818
architecture,transit,recursive,stable,0.600000,0.835270
architecture,transit,recursive,diverging,0.800000,0.786628
architecture,transit,recursive,chaotic,1.100000,0.718924
architecture,transit,divergent,stable,0.700000,0.810584
architecture,transit,divergent,diverging,0.900000,0.763379
architecture,transit,divergent,chaotic,1.200000,0.697676
architecture,transit,chaotic,stable,0.900000,0.763379
architecture,transit,chaotic,diverging,1.100000,0.718924
architecture,transit,chaotic,chaotic,1.400000,0.657047
architecture,risk,convergent,stable,0.700000,0.810584
architecture,risk,convergent,diverging,0.900000,0.763379
architecture,risk,convergent,chaotic,1.200000,0.697676
architecture,risk,recursive,stable,0.800000,0.786628
architecture,risk,recursive,diverging,1.000000,0.740818
architecture,risk,recursive,chaotic,1.300000,0.677057
architecture,risk,divergent,stable,0.900000,0.763379
architecture,risk,divergent,diverging,1.100000,0.718924
architecture,risk,divergent,chaotic,1.400000,0.657047
architecture,risk,chaotic,stable,1.100000,0.718924
architecture,risk,chaotic,diverging,1.300000,0.677057
architecture,risk,chaotic,chaotic,1.600000,0.618783
architecture,danger,convergent,stable,0.900000,0.763379
architecture,danger,convergent,diverging,1.100000,0.718924
architecture,danger,convergent,chaotic,1.400000,0.657047
architecture,danger,recursive,stable,1.000000,0.740818
architecture,danger,recursive,diverging,1.200000,0.697676
architecture,danger,recursive,chaotic,1.500000,0.637628
architecture,danger,divergent,stable,1.100000,0.718924
architecture,danger,divergent,diverging,1.300000,0.677057
architecture,danger,divergent,chaotic,1.600000,0.618783
architecture,danger,chaotic,stable,1.300000,0.677057
architecture,danger,chaotic,diverging,1.500000,0.637628
architecture,danger,chaotic,chaotic,1.800000,0.582748
engineering,safe,convergent,stable,0.600000,0.835270
engineering,safe,convergent,diverging,0.800000,0.786628
engineering,safe,convergent,chaotic,1.100000,0.718924
engineering,safe,recursive,stable,0.700000,0.810584
engineering,safe,recursive,diverging,0.900000,0.763379
engineering,safe,recursive,chaotic,1.200000,0.697676
engineering,safe,divergent,stable,0.800000,0.786628
engineering,safe,divergent,diverging,1.000000,0.740818
engineering,safe,divergent,chaotic,1.300000,0.677057
engineering,safe,chaotic,stable,1.000000,0.740818
engineering,safe,chaotic,diverging,1.200000,0.697676
engineering,safe,chaotic,chaotic,1.500000,0.637628
engineering,transit,convergent,stable,0.700000,0.810584
engineering,transit,convergent,diverging,0.900000,0.763379
engineering,transit,convergent,chaotic,1.200000,0.697676
engineering,transit,recursive,stable,0.800000,0.786628
engineering,transit,recursive,diverging,1.000000,0.740818
engineering,transit,recursive,chaotic,1.300000,0.677057
engineering,transit,divergent,stable,0.900000,0.763379
